Col1,Col2,Col3,Col4,Col5,Col6,Col7,ClassificationLabel
Word16 Word17 Word18 Word7,3016,"1,293.00",Word785 Word330 Word99 Word764 Word61,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word42 Word43 Word5,8502,"2,375.00",Word1283 Word1284,10/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,17869,74.99,Word633 Word575,9/30/2018,Word563 Word575,NoDoc,Category_2
Word6 Word7,10384,"1,260.00",Word1144 Word1245 Word1902,3/1/2018,Word560 Word611 Word603 Word604 Word605 Word606,Doc1,Category_1
Word44 Word45 Word46,201805-00053-YK0,"2,570,126.23",Word834 Word835 Word46,6/30/2018,Word560 Word561 Word580 Word202 Word545,Doc1,Category_1
Word38 Word4 Word39,41524357,"18,500.00",Word121 Word836,9/30/2018,Word563 Word121 Word579,NoDoc,Category_1
Word137 Word138 Word7,MAZG5575,"1,680.00",Word905,7/31/2018,Word563 Word359,NoDoc,Category _3
Word89 Word44 Word5,66752635,"1,681.35",Word1609,6/30/2018,Word563 Word608 Word609,NoDoc,Category_2
Word33 Word34 Word35 Word7,108644-1360,"4,557.96",Word602 Word2080 Word694 Word160 Word694 Word1094,10/31/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word16 Word17 Word18 Word7,GF556,"5,600.00",Word1803 Word784 Word785,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word30 Word31,662043,"1,105.00",Word797 Word190,6/30/2018,Word560 Word611 Word603 Word604 Word605 Word606,Doc1,Category_1
Word42 Word43 Word5,8502,"2,375.00",Word1283 Word1284,10/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word16 Word17 Word18 Word7,2908,140.4,Word783 Word784 Word785,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word385 Word7,11941,"6,000.00",Word1260 Word1483,3/1/2018,Word565 Word566,NoDoc,Category_1
Word101 Word102 Word103 Word7,112589,"22,907.24",Word562 Word1214,7/31/2018,Word576 Word679 Word680,Doc3,Category_2
Word116 Word117 Word118 Word119 Word7,156475,576,Word562,11/30/2018,Word563 Word366 Word562,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,66180,315,Word899 Word805 Word605,3/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word106 Word107 Word7,82955-6,"2,694.00",Word969 Word791,8/31/2018,Word588 Word655 Word656 Word545,Doc1,Category_1
Word160 Word161 Word61 Word45 Word39,1053-1,130,Word61,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64918,105,Word920 Word921 Word789 Word855 Word922,12/1/2017,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64981,392.52,Word393 Word798,12/1/2017,Word563 Word580 Word581 Word232,NoDoc,Category_2
Word19 Word20 Word21 Word22 Word23 Word5,10924,37.24,Word575,12/1/2017,Word563 Word575,NoDoc,Category_2
Word24 Word22 Word4 Word5,23296,892.5,Word562 Word842 Word967 Word842 Word1094,11/30/2018,Word563 Word132 Word610,NoDoc,Category_1
Word16 Word17 Word18 Word7,1885,"1,440.00",Word1524 Word2081,12/1/2017,Word563 Word580 Word202 Word592,NoDoc,Category_1
Word192 Word193 Word194,1807462,"34,993.67",Word845 Word835 Word619 Word991,9/30/2018,Word576 Word605 Word604 Word768,Doc3,Category_1
Word8 Word9 Word10 Word11 Word5,4.80R+11,"1,449.10",Word785 Word330 Word99 Word780,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64591,210,Word824 Word789 Word1484,12/1/2017,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word16 Word17 Word18 Word7,LU837,"3,780.00",Word1189 Word784 Word785,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word109 Word61 Word7,502,"2,335.00",Word564 Word9 Word26,9/30/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word73 Word4 Word5,6899,748,Word943,11/30/2018,Word576 Word589 Word653 Word654 Word591,Doc3,Category_1
Word16 Word17 Word18 Word7,4295,"1,378.80",Word959 Word784 Word785,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word221 Word222 Word128,11771,"10,758.00",Word744 Word1052,11/30/2018,Word52 Word330 Word566,NoDoc,Category_1
Word376 Word377 Word44,100058455,"5,458.00",Word777 Word865 Word910 Word865 Word1463,4/30/2018,Word567 Word107,Doc1,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65838,315,Word562,3/1/2018,Word563 Word366 Word562,NoDoc,Category_1
Word179 Word180 Word181 Word182,UQXKI080118,"44,473.31",Word330 Word1004 Word1005 Word980 Word45 Word981 Word808,8/31/2018,Word571 Word52 Word636 Word372 Word575 Word613,NoDoc,Category_1
Word54 Word3 Word4,IHT69984,420,Word123 Word190,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,JY1917,"3,780.00",Word879 Word785,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-829,"3,715.14",Word562,5/31/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word550 Word551,DED-15905,"144,120.00",Word2082 Word791,5/31/2018,Word560 Word561 Word551 Word4,Doc1,Category_1
Word42 Word43 Word5,8253,740,Word562,7/31/2018,Word563 Word366 Word562,NoDoc,Category_2
Word8 Word9 Word10 Word11 Word5,4.80Y+11,206.4,Word26,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word78 Word79 Word11 Word5,U123117-23,96,Word885 Word784 Word568 Word650,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word48 Word3 Word4 Word5,RF20173730,91,Word330 Word99 Word26,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word38 Word4 Word39,41531926,"12,900.00",Word121 Word836,11/30/2018,Word563 Word121 Word579,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80W+11,51.6,Word783 Word784 Word568 Word650,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-831,"4,557.96",Word562,5/31/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word16 Word17 Word18 Word7,5064,"1,489.20",Word330 Word99 Word764 Word26,4/30/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word8 Word9 Word10 Word11 Word5,4809930014,114,Word2083 Word784 Word785,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word24 Word22 Word4 Word5,22596,685,Word562,6/30/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word90 Word91 Word92 Word7,109691,"40,275.50",Word857 Word757 Word2084,3/1/2018,Word567 Word582 Word580 Word202 Word545,Doc1,Category_1
Word30 Word31,663696,"1,020.00",Word123 Word190,9/30/2018,Word560 Word561 Word366 Word562,Doc1,Category_1
Word30 Word31,647016,385,Word123 Word190,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word463,9503607517,"77,689.88",Word2085 Word593,12/1/2017,Word565 Word566,NoDoc,Category_1
Word58 Word3 Word4 Word5,12811,"1,285.00",Word2086 Word832 Word191,3/1/2018,Word563 Word366 Word562,NoDoc,Category_1
Word16 Word17 Word18 Word7,TU753,630,Word975 Word9,8/31/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word41 Word125 Word34 Word5,101,"2,529.00",Word1237 Word802 Word857,1/1/2018,Word567 Word582 Word580 Word202 Word545,Doc1,Category_1
Word42 Word43 Word5,7764,290,Word804 Word805 Word806,3/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word16 Word17 Word18 Word7,3569,108,Word783 Word784 Word785,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80J+11,720,Word2087,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,MP1295,"2,520.00",Word61,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,11470,849.82,Word575,2/1/2018,Word563 Word575,NoDoc,Category_2
Word16 Word17 Word18 Word7,3749,320.4,Word783 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,MX1242,405,Word1100 Word201,9/30/2018,Word563 Word132 Word610,NoDoc,Category_1
Word44 Word45 Word46,201806-00045,"2,829,197.98",Word845 Word835 Word46,7/31/2018,Word288 Word626 Word627,NoDoc,Category_1
Word16 Word17 Word18 Word7,WB1458,"1,260.00",Word819 Word785,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80P+11,240,Word330 Word99 Word26,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word96 Word3 Word4 Word5,60246,320,Word1053 Word330 Word99 Word764 Word26,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word62 Word63 Word18 Word7,211351N,960,Word785 Word61,12/1/2017,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65947,315,Word1853 Word2088,3/1/2018,Word563 Word366 Word562,NoDoc,Category_2
Word81 Word82 Word5,138585,849.4,Word643 Word82,4/1/2018,Word563 Word82 Word9 Word607,NoDoc,Category_1
Word16 Word17 Word18 Word7,NV1291,"2,520.00",Word61,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,2692,561.6,,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word30 Word31,644085,45.5,Word826 Word780,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word3 Word7,71966,720,Word2089 Word989 Word2090,10/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word48 Word3 Word4 Word5,XK20180515,170,Word877,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word208 Word209 Word155 Word7,J39061,569.5,Word568 Word760 Word170,5/31/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word16 Word17 Word18 Word7,AW1027,180,Word783 Word784 Word785,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word113 Word114 Word115 Word7,152029,"6,412.50",Word1140 Word255,10/31/2018,Word52 Word330 Word566,NoDoc,Category_1
Word38 Word4 Word39,41521191,"5,443.56",Word121 Word836,10/31/2018,Word563 Word121 Word579,NoDoc,Category_1
Word299 Word237 Word7,32615,"19,371.40",Word949 Word991 Word967 Word909 Word808 Word808,11/30/2018,Word571 Word52 Word657 Word292 Word13,NoDoc,Category_1
Word223 Word60 Word65 Word4 Word7,3708,650,Word99 Word1330 Word1823,9/30/2018,Word560 Word561 Word593 Word578 Word65,Doc1,Category_1
Word318,4393832,"2,254.80",Word1255 Word65,6/30/2018,Word613 Word99 Word614 Word98 Word338 Word678,Doc2,Category_1
Word8 Word9 Word10 Word11 Word5,4.80W+11,65,Word330 Word99 Word26,7/31/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word54 Word3 Word4,YRA68753,990,Word826 Word578,9/30/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64788,105,Word1258 Word945,12/1/2017,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word48 Word3 Word4 Word5,EI20174497,42,,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word299 Word237 Word7,32053,"23,867.82",Word949 Word991 Word883 Word847 Word831 Word808,7/31/2018,Word571 Word52 Word657 Word646 Word13,NoDoc,Category_1
Word167 Word168 Word169,IFVHLP030518,"6,346.00",Word1356 Word1059 Word1104 Word835,3/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word16 Word17 Word18 Word7,2740,561.6,Word924 Word784 Word785,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80G+11,532.5,Word2091 Word784 Word568 Word650,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,4378,"1,237.20",Word885 Word784 Word785,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word189 Word190 Word191 Word7,2358711,"1,209.90",Word130 Word791,10/31/2018,Word567 Word582 Word366 Word562,Doc1,Category_1
Word16 Word17 Word18 Word7,3535,"1,304.40",Word785 Word61,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word25 Word26,041318-12,108,Word785 Word9,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,KI1666,"5,040.00",Word879 Word785,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word273 Word61,503,"2,183.50",Word61,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word398 Word399,CCEMCUUXWYNIZFJ071318,"787,402.05",Word834 Word835 Word185 Word779 Word779,7/31/2018,Word725 Word726 Word450 Word727,NoDoc,Category_1
Word263 Word264 Word61 Word5,VE-2462,"1,415.25",Word599 Word191,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word208 Word209 Word155 Word7,R46567,864,Word1028 Word760,5/31/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word90 Word91 Word92 Word7,107495,"4,405.00",Word204 Word1003 Word888,1/1/2018,Word567 Word582 Word583 Word584 Word585 Word586,Doc1,Category_1
Word58 Word3 Word4 Word5,12968,"1,120.00",Word978 Word702 Word805,5/31/2018,Word567 Word582 Word366 Word562,Doc1,Category_1
Word144 Word145 Word146 Word147 Word7,125455,660,Word1555 Word699 Word1895,5/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word16 Word17 Word3 Word7,70910,"1,039.20",Word876 Word815 Word2070,6/30/2018,Word563 Word366 Word562,NoDoc,Category_1
Word50 Word51 Word4 Word5,1187,250,Word2092 Word2093,7/31/2018,Word567 Word582 Word366 Word562,Doc1,Category_1
Word16 Word17 Word18 Word7,KQ2003,"1,260.00",Word338 Word1033 Word9 Word1542 Word1543,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word96 Word3 Word4 Word5,71308,"4,860.00",Word330 Word99 Word764 Word61,4/1/2018,Word563 Word132 Word610,NoDoc,Category_1
Word16 Word17 Word18 Word7,4931,365.4,Word783 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,4044,"1,080.00",Word1013,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word42 Word43 Word5,8583,555,Word804 Word805 Word806,11/30/2018,Word567 Word582 Word366 Word562,Doc1,Category_1
Word16 Word17 Word18 Word7,QW1700,"3,780.00",Word1465 Word784 Word764 Word26,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word148 Word75 Word5,JGA25719,"24,744.00",Word846 Word791,8/31/2018,Word567 Word582 Word107,Doc1,Category_1
Word42 Word43 Word5,7744,725,Word899 Word1282 Word1149,3/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word16 Word17 Word18 Word7,2491,140.4,Word330 Word99 Word764 Word26,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word73 Word4 Word5,5489,"6,933.50",Word562 Word1086 Word910 Word1086 Word1074,10/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,15940,17.08,Word633 Word575,7/31/2018,Word563 Word575,NoDoc,Category_2
Word8 Word9 Word10 Word11 Word5,4.80E+11,43,Word1367 Word784 Word2009 Word650,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word96 Word3 Word4 Word5,90912,950,Word826 Word785,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word3 Word7,71529,432,Word393 Word798,8/31/2018,Word563 Word366 Word562,NoDoc,Category_2
Word74 Word75 Word44 Word5,GJM00128,"-269,111.58",Word840 Word841 Word842 Word843,3/1/2018,Word563 Word600 Word601 Word602,NoDoc,Category_1
Word96 Word3 Word4 Word5,58165,"1,030.00",Word305 Word132 Word190,1/1/2018,Word563 Word132 Word610,NoDoc,Category_2
Word16 Word17 Word3 Word7,71280,360,Word804 Word805 Word338 Word201 Word706,10/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word16 Word17 Word18 Word7,4380,"1,450.80",Word959 Word784 Word785,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word3 Word7,71679,360,Word1326 Word605,8/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80N+11,"1,200.00",Word783 Word784 Word577,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,YD1915,"5,040.00",Word1235 Word785,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word341 Word181 Word7,SQKYXKRR020918,"13,457.11",Word1344 Word2094,2/1/2018,Word571 Word52 Word639 Word579,NoDoc,Category_1
Word16 Word17 Word18 Word7,NG118,"12,600.00",Word1615 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word48 Word3 Word4 Word5,GX20173730,91,Word330 Word99 Word26,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word113 Word114 Word115 Word7,150147,"1,805.00",Word578 Word791,9/30/2018,Word560 Word561 Word366 Word562,Doc1,Category_1
Word160 Word161 Word61 Word45 Word39,1046-1,65,Word60 Word99 Word26,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word122 Word123 Word21 Word124 Word5,DEZ19619,360,Word61,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word62 Word63 Word18 Word7,211758Q,"1,320.00",Word1053 Word826 Word764 Word780,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word78 Word79 Word11 Word5,L123117-19,148,Word1252 Word784 Word568 Word650,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,GS360,800,Word959 Word784 Word785,6/30/2018,Word567 Word569 Word570,Doc1,Category_1
Word38 Word4 Word39,41512646,"22,000.00",Word1021 Word1022 Word659,7/31/2018,Word563 Word121 Word579,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-1014,"3,503.94",Word940 Word895,6/30/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word16 Word17 Word18 Word7,5063,"1,170.00",Word1013 Word966,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word273 Word61,458,"15,913.00",Word826 Word780,4/1/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word47 Word3 Word4 Word5,2018019978,310,Word797 Word190,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word44 Word45 Word46,201806-00045,"2,829,197.98",Word845 Word835 Word46,7/31/2018,Word560 Word561 Word709 Word710 Word338 Word678 Word711,Doc1,Category_1
Word44 Word45 Word46,201803-00042,67.5,Word1583 Word835 Word46,5/31/2018,Word563 Word220,NoDoc,Category_1
Word54 Word3 Word4,OQB65838,883,Word123 Word190,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,4373,"1,352.00",Word2095 Word784 Word785,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65452,840,Word1799 Word706,2/1/2018,Word563 Word366 Word562,NoDoc,Category_1
Word30 Word31,678847,144,Word61,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word38 Word4 Word39,41478384,"4,100.00",Word792 Word121 Word794 Word779,2/1/2018,Word563 Word121 Word579,NoDoc,Category_1
Word140 Word3 Word34,30001,"18,090.00",Word13 Word794,10/31/2018,Word52 Word330 Word566,NoDoc,Category_1
Word48 Word3 Word4 Word5,BY20173390,175,Word1452 Word784 Word785,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,20132,"1,103.99",Word575 Word84 Word490,11/30/2018,Word563 Word575,NoDoc,Category_2
Word96 Word3 Word4 Word5,57559,"1,275.00",Word305 Word132 Word190,12/1/2017,Word563 Word132 Word610,NoDoc,Category_2
Word30 Word31,652110,48,Word60 Word99 Word26,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word199 Word200 Word201 Word202 Word7,GEB-0023560,385,Word1043 Word190 Word1120,6/30/2018,Word567 Word582 Word580 Word202 Word545,Doc1,Category_2
Word16 Word17 Word18 Word7,4520,879.6,Word783 Word784 Word785,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word6 Word7,10565,595,Word780 Word1206 Word806 Word1316,6/30/2018,Word560 Word561 Word580 Word202 Word545,Doc1,Category_1
Word16 Word17 Word18 Word7,OA1187,360,Word785 Word330 Word99,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,2517,"1,263.60",,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word116 Word117 Word118 Word119 Word7,153428,576,Word51 Word794 Word562,6/30/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word96 Word3 Word4 Word5,57575,360,Word305 Word132 Word190,12/1/2017,Word563 Word132 Word610,NoDoc,Category_2
Word8 Word9 Word10 Word11 Word5,4.80L+11,60,Word783 Word784 Word785,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word144 Word145 Word146 Word147 Word7,125109,"2,062.50",Word516 Word913 Word1090,4/1/2018,Word576 Word366 Word562,Doc3,Category_1
Word120 Word121 Word31,45110,"5,656.06",Word1021 Word880 Word856,8/31/2018,Word563 Word121 Word579,NoDoc,Category_1
Word16 Word17 Word18 Word7,BN187,"10,080.00",Word865 Word1073 Word61,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word135 Word136 Word7,3767644,"2,024.57",Word1570 Word643,8/31/2018,Word576 Word202 Word545,NoDoc,Category_1
Word62 Word63 Word18 Word7,212888O,320,Word785 Word60 Word99 Word764 Word61,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word448 Word5,10702,"2,350.00",Word1752 Word1753 Word1754 Word99 Word1755 Word762,11/30/2018,Word563 Word580 Word202 Word592,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,20136,184.31,Word575 Word786,11/30/2018,Word563 Word575,NoDoc,Category_2
Word96 Word3 Word4 Word5,62007,300,Word305 Word132 Word190,1/1/2018,Word563 Word608 Word609,NoDoc,Category_1
Word16 Word17 Word18 Word7,PJ1469,"1,440.00",Word1013,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word42 Word43 Word5,8524,"2,245.00",Word1283 Word1284 Word833 Word338,12/31/2018,Word560 Word561 Word366 Word562,Doc1,Category_1
Word196 Word197 Word198 Word4 Word7,401X121418NZATGYN,"121,647.27",Word640 Word1002,12/31/2018,Word571 Word52 Word639 Word640 Word579,NoDoc,Category_1
Word175 Word176 Word5,Z-1369,"20,300.00",Word278 Word970,10/31/2018,Word567 Word582 Word583 Word584 Word585 Word586,Doc1,Category_1
Word16 Word17 Word18 Word7,PV1175,"1,260.00",Word1379,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word552 Word553,ASKARWP083018,"1,343.39",Word613 Word781 Word2027,8/31/2018,Word571 Word52 Word594 Word641,NoDoc,Category_1
Word16 Word17 Word18 Word7,6586,320.4,Word783 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word42 Word43 Word5,8325,"2,520.00",Word900 Word805 Word806,8/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word144 Word145 Word146 Word147 Word7,125455,660,Word1555 Word699 Word1895,5/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word109 Word61 Word7,270,"3,967.40",Word689 Word780,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word177 Word178 Word147 Word7,191ATP,"12,944.00",Word802 Word706 Word191,4/1/2018,Word563 Word366 Word562,NoDoc,Category_1
Word16 Word17 Word18 Word7,6635,640.8,Word885 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word30 Word31,679830,40,Word61,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64627,840,Word1331 Word592 Word764 Word1375,12/1/2017,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word16 Word17 Word18 Word7,MW1750,270,Word941 Word785,10/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80Z+11,60,Word61,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,XL1666,"5,040.00",Word879 Word785,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word308 Word309 Word310,2018LXGLYVNPMKWVOJ,"2,760,671.27",Word835 Word682 Word683 Word684,10/31/2018,Word563 Word682 Word683 Word684,NoDoc,Category_1
Word162 Word7,GOL03WAG18,"11,200.00",Word582 Word1093 Word791,6/30/2018,Word567 Word582 Word107,Doc1,Category_1
Word55 Word56 Word57 Word5,58917,"13,702.11",Word278 Word822 Word593,8/31/2018,Word52 Word330 Word566,NoDoc,Category_1
Word73 Word4 Word5,5487,490,Word839 Word53 Word190,10/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word257 Word258 Word259 Word5,180703-12801,"23,400.00",Word1347 Word856,7/31/2018,Word567 Word582 Word580 Word202 Word545,Doc1,Category_1
Word89 Word44 Word5,66801268,"5,293.20",Word608 Word613,6/30/2018,Word563 Word608 Word609,NoDoc,Category_2
Word42 Word43 Word5,7959,"1,330.00",Word1283 Word832 Word338 Word878,5/31/2018,Word560 Word611 Word612,Doc1,Category_1
Word33 Word34 Word35 Word7,108644-1267,"3,684.45",Word562,10/31/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word16 Word17 Word18 Word7,OL124,"8,820.00",Word1006 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word58 Word3 Word4 Word5,12825,230,Word2096 Word868 Word2097,3/1/2018,Word563 Word366 Word562,NoDoc,Category_1
Word16 Word17 Word3 Word7,72094,216,Word1178 Word902 Word1422,11/30/2018,Word563 Word366 Word562,NoDoc,Category_1
Word189 Word190 Word191 Word7,5344895,"2,016.00",Word1113 Word2098,2/1/2018,Word565 Word566,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65972,262.52,Word899 Word805 Word605,3/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word16 Word17 Word18 Word7,4534,140.4,Word783 Word784 Word785,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word3 Word7,70591,420,Word1640 Word772 Word1418 Word1641,6/30/2018,Word563 Word580 Word581 Word232,NoDoc,Category_2
Word38 Word4 Word39,41475855,"3,750.00",Word1021 Word121 Word659,1/1/2018,Word563 Word121 Word579,NoDoc,Category_1
Word116 Word117 Word118 Word119 Word7,151095,690.75,Word51 Word794 Word2023 Word2024,4/30/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
